,pct_sfr
MenloPark,80.2
Piedmont,99.7
Windsor,87.4
UnincorpSM,98.3
Brentwood,94.39999999999999
Emeryville,40.5
HalfMoonBay,82.19999999999999
WalnutCreek,86.0
Novato,90.3
Gilroy,88.6
SanCarlos,89.3
ElCerrito,89.0
Yountville,51.2
Pacifica,91.3
Clayton,95.19999999999999
Foster,59.599999999999994
Milpitas,81.3
Colma,87.7
Calistoga,94.39999999999999
Campbell,67.5
Dixon,74.8
AmericanCanyon,85.6
Cupertino,91.3
LosAltosHills,100.0
Hillsborough,100.0
Ross,100.0
Millbrae,88.4
SanJose,84.5
MillValley,91.2
Healdsburg,89.2
SanFrancisco,51.4
Antioch,94.19999999999999
Oakley,93.0
EastPaloAlto,80.30000000000001
StHelena,85.1
Alameda,42.9
RioVista,89.7
Cloverdale,78.9
SanAnselmo,93.7
Newark,81.0
Concord,85.1
Danville,94.8
UnincorpSolano,99.1
Napa,82.1
SantaClara,68.5
Moraga,91.2
Saratoga,98.7
Berkeley,48.4
Benicia,11.3
Hercules,79.9
Sausalito,51.9
Sonoma,65.2
Atherton,100.0
Belmont,88.4
Redwood,62.0
Woodside,100.0
Livermore,91.9
SanMateo,68.7
Fairfax,97.3
Fairfield,75.9
MonteSereno,100.0
Lafayette,98.3
UnincorpSonoma,98.4
UnincorpNapa,100.0
Larkspur,77.10000000000001
Vacaville,82.0
Albany,69.5
PaloAlto,86.4
Burlingame,82.69999999999999
Petaluma,73.7
UnincorpCC,97.8
RohnertPark,61.7
DalyCity,89.1
PleasantHill,87.1
Sebastopol,73.1
SanBruno,91.10000000000001
Brisbane,83.89999999999999
Fremont,88.2
LosGatos,93.60000000000001
UnincorpAlameda,87.6
UnionCity,86.7
Richmond,72.3
SanLeandro,39.4
PortolaValley,100.0
Pinole,90.9
SanRamon,88.1
Cotati,41.5
MorganHill,83.1
SanRafael,81.69999999999999
Hayward,77.5
UnincorpMarin,68.60000000000001
Vallejo,84.7
CorteMadera,88.9
Martinez,92.60000000000001
Dublin,67.0
SantaRosa,86.5
MountainView,50.4
Sunnyvale,71.8
LosAltos,97.8
Belvedere,93.8
Oakland,65.0
Pleasanton,91.2
Orinda,99.8
Pittsburg,79.2
SouthSanFrancisco,73.1
SanPablo,70.3
UnincorpSC,99.7
Suisun,0.0
Tiburon,89.0
